S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
219,SIA/MP/MIN/565295/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272103/2026",Amiliya Sand Quarry_11.00 ha,MADHYA PRADESH,PREM LAL DWIVEDI,Category: B1 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,Standard ToR Granted,"Sand Quarry on Son River, Located at Khasra No. 1/601, Amiliya Village, Manpur Tehsil, Umaria District, Madhya Pradesh. Total lease area is 11.00 ha."
220,SIA/MP/MIN/567339/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273894/2026",Rancholi Flag stone & Khanda/ Dhoka Quarry,MADHYA PRADESH,Abhishek Singh Yadav,Category: B1 Sector: Non-Coal Mining Date of Submission: 30/01/2026,SEIAA,Standard ToR Granted,"This is a Flag stone & Khanda/ Dhoka quarry. It comes under the B1 Category. We are using an open-cast semi-mechanised mining method with an annual production of 10,000 cubic meters/Year, Khasra no 102, Area - 3.00Ha, Village- Rancholi, Tehsil – Morena(Banmore) , District - Morena(M.P.)"
221,SIA/MP/MIN/564950/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271825/2026","Badwari Stone (Gitti, Boulder & M-Sand) Quarry",MADHYA PRADESH,pragati buildcon,Category: B1 Sector: Non-Coal Mining Date of Submission: 17/01/2026,SEIAA,Standard ToR Granted,"It is a Stone Quarry with a production capacity of Max. 1,00,000 m3/year Gitti, Max. 90,000 m3/year Boulder and Max. 45,000 m3/year M-Sand having a lease area of 4.00 hectare, at Khasra No. 1536, 1537 & 1538 (Govt. land) Village - Badwari, Tehsil- Morena, District- Morena (M.P.)"
222,SIA/MP/MIN/562559/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269734/2025",Amiliya Sand Quarry_11.00 ha,MADHYA PRADESH,GAYAPRASAD ANJNE,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Proposal pulled back (withdrawn),"Sand Quarry on Son River, Located at Khasra No. 1/601, Amiliya Village, Manpur Tehsil, Umaria District, Madhya Pradesh. Total lease area is 11.00 ha."
223,SIA/MP/MIN/566947/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/230327/2025","Pahadi Limestone Block, 102.861 ha.",MADHYA PRADESH,INDU AHLUWALIA,Category: B1 Sector: Non-Coal Mining Date of Submission: 29/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"Opencast method of mining will be adopted. All operations of mining will be done by deployment of heavy earth moving machineries for excavation, loading & transport. Random holes of 2.8m depth drilling will be done. Instead various mining activities such as drilling, blasting, loading and transportation will be so conducted as to ensure maximum mineral conservation and minimum environmental degradation. While planning, quality parameter of the deposit has been taken care of so as to have maximum"
224,SIA/MP/MIN/567035/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/243323/2025",Rafadpur Stone Quarry,MADHYA PRADESH,GOPAL AGARWAL,Category: B1 Sector: Non-Coal Mining Date of Submission: 28/01/2026,SEIAA,Under Verification,"It is a Stone quarry with a production capacity of Max. 25,000 m³/year Stone Gitti having a lease area of 1.00 hectares , previously EC was issued by DEIAA Gwalior at Khasra No.- 133 (Govt. Land) Village - Rafadpur, Tehsil- Dabra, District- Gwalior (M.P.). Later we have applied a new application in Form-2 for fresh EC in SEIAA as per SEIAA policy decision taken in SEIAA agenda 766th Dated 11/01/2023 which is for 0 to 5 hectares whose application number is SIA/MP/MIN/461137/2024 and subsequent ca"
225,SIA/MP/MIN/560772/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/268069/2025",Phulwari Stone quarry,MADHYA PRADESH,SHANKER VAISHYA,Category: B1 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,Standard ToR Granted,"It is a Stone quarry with a production capacity of 15,191 Cu.mt/Year Stone having a lease area of 1.40 hectares , previously EC was issued by DEIAA Singrauli at Khasra No.-276/3 (Govt. Land) Village - Phulwari, Tehsil- Singrauli, District- Singrauli (M.P.). As our mine lease is falling in a cluster having cluster area more than 5 hectares hence on the basis of minutes of 777th SEAC meeting Dated 11/03/2025 we are again applying a new application in B1 category via Form-1."
226,SIA/MP/MIN/563862/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/270872/2026,BARBASPUR JAR SAND QUARRY (1.300Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EDS raised,"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla, dated 23/12/2024 for grant of Mining Lease for Barbaspur Jar Sand Quarry located in Village- Barbaspur Jar, Tehsil- Mandla, District- Mandla, State- Madhya Pradesh over an area of 1.300 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Semi Mechanized Opencast mining method.The project fall"
227,SIA/MP/MIN/557851/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/181689/2024",Devnagar Laterite Mine,MADHYA PRADESH,Shrikant pandey,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Under Verification,"The existing Quarry lease area is 1.320Ha Maximum Production Capacity: 15003 TPA of Laterite is proposed by Open Cast Mechanized Method. Water requirement for the proposed project for drinking use, dust suppression and other use will be 1.9 KLD, which will be taken from Water Tanker."
228,SIA/MP/INFRA2/562239/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269292/2025",AGI Greenpac Limited,MADHYA PRADESH,AGI GREENPAC LIMITED,Category: B2 Sector: INFRA-2 Date of Submission: 03/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"Obtaining Environmental Clearance for the proposed Industrial Shed of M/s AGI Greenpac Limited located at Plot No. 1, Survey Nos. 62, 64, 65, 66, 94, 95, 96, 1004 & 1005, Mawai Industrial Area–Morena, Village-Mawai, Tehsil-Banmore, District- Morena (M.P.)"
229,SIA/MP/MIN/567230/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273793/2026",Chorpandra Stone Quarry,MADHYA PRADESH,Vinika Yadav,Category: B2 Sector: Non-Coal Mining Date of Submission: 29/01/2026,SEIAA,Under Verification,"Chorpandra Stone Quarry, is situated at Village: Chorpandra, Tehsil: Ghoda Dongri, District: Betul and State: Madhya Pradesh over an area of 1.00 Ha. Quarry Lease Sanctioned to Vinika Yadav by Office of the Collector (Mining Branch), District Betul, M.P."
230,SIA/MP/MIN/565061/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/188715/2024,Khedi Balwari Limestone Mine 14.424 ha,MADHYA PRADESH,SAGAR CEMENTS (M) PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,EDS raised,Name change of the Company from Satguru Cement Private Limited to Sagar Cements (M) Private Limited
231,SIA/MP/MIN/562317/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269508/2025",Kata Mal - 2 Sand Quarry,MADHYA PRADESH,SURENDRA NAMDEO,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Proposal pulled back (withdrawn),"Sand Quarry on Banjar River, Located at Survey Nos. 1, 358, Kata Mal Village, Bichhiya Tehsil, Mandla District, Madhya Pradesh. Total lease area is 18.80 ha."
232,SIA/MP/MIN/567275/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273831/2026",DHABLAGORI STONE MINE,MADHYA PRADESH,DHARMENDRA MEHTA,Category: B1 Sector: Non-Coal Mining Date of Submission: 30/01/2026,SEIAA,Standard ToR Granted,"Area-2.0ha, khasra no-145 at villageDhabalgori, Tehsil-Ghatiya, DistrictUjjain(M.P.)"
233,SIA/MP/MIN/463113/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/172230/2024",ERI STONE QUARRY,MADHYA PRADESH,BHAWANA KALRA,Category: B2 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,Under Verification,This is a Stone (Gitty) quarry. It comes Under the B2 Category. We are using an open cast semi-mechanized mining method of production and its minable reserve production is 84000Cub Meters and its annual production is Stone(Gitty)- 8835 M3/ Year
234,SIA/MP/MIN/565596/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271855/2026",Kurryai Stone (For Making Gitti by Crusher & M-Sand) Quarry,MADHYA PRADESH,SANJEEV DANGI,Category: B2 Sector: Non-Coal Mining Date of Submission: 24/01/2026,SEIAA,EDS raised,"IT IS B2 CATEGORY GITTI & M-SAND MINE PROJECT, PROJECT IS LOCATED AT SURVEY NO. 18/1/2 IN VILLAGE -KURRYAI, TEHSIL- KURWAI, DISTRICT-VIDISHA, STATE MADHYA PRADESH, TOTAL QUARRY LEASE AREA - 1.301 HA."
235,SIA/MP/INFRA2/558827/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/265890/2025","Proposed 4 GW Solar Module Plant at Khasra No-1508/2/2, 1508/3,1508/4/2,1508/1 Village - Barandwa, Industrial Park Phase-II, Maksi, Dist- Ujjain - 465106 by M/s Jakson Engineers Limited",MADHYA PRADESH,JAKSON ENGINEERS LIMITED,Category: B2 Sector: INFRA-2 Date of Submission: 20/01/2026,SEIAA,EDS raised,"4 GW solar module plant at Maksi, Ujjain is adjacent to solar plant of Jakson Group will employ world class technology and automation for production of quality finished Solar PV Modules. This project will be in line with government's push and India's commitment at International forums for adoption of renewable energy."
236,SIA/MP/MIN/567844/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/273866/2026,SATPIPALIYA STONE QUARRY,MADHYA PRADESH,RAKESH,Category: B2 Sector: Non-Coal Mining Date of Submission: 03/02/2026,SEIAA,Under Verification,"This is a Satpipaliya Stone Quarry. The proposed excavation area is the Application for EC being submitted for mining of Minor Mineral for the belongs to the B2 category because the proposed area is within a 500m radius. We are using an open-cast semi-mechanised mine, and its annual production is 7,579 Cubic meters per year at Khasra no 416/3/7, Area - 2.00, Village - Satpipaliya, Tehsil – Ichhawar, District - Sehore (M.P)"
237,SIA/MP/MIN/553947/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/262049/2025",Toda Karera Murum Quarry,MADHYA PRADESH,shishupal yadav,Category: B2 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,Under Verification,"It is a Murrum Quarry with a production capacity of 15,000 m3/year Murum having a lease area of 2.00 hectare, at Khasra No. 511/1 (Govt. land) Village - Toda Karera, Tehsil- Karera, District- Shivpuri (M.P.)."
238,SIA/MP/MIN/566041/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/246973/2025",Badagaon Stone Quarry (used for making Gitti by mechanical crushing) (Area - 1.20 ha.),MADHYA PRADESH,RANJAN GROVER,Category: B1 Sector: Non-Coal Mining Date of Submission: 22/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"The Project is located at Khasra No. – 142 in Village- Badagaon, Tehsil – Barhi, District – Katni, Madhya Pradesh"
239,SIA/MP/MIN/563909/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270922/2026",Bilaua Stone Quarry,MADHYA PRADESH,NAVEEN BAJAJ,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Standard ToR Granted,This is a stone quarry. This Case belongs to the B1 category due to the proposed excavation area is a Cluster of Mines In these 5 hectares. We are using the open-cast semi-mechanised mining method of production.
240,SIA/MP/MIN/536937/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/246531/2025",GHUGHARA DOLOMITE & SOAPSTONE MINING LEASE,MADHYA PRADESH,ABHISHEK AGRAWAL,Category: B2 Sector: Non-Coal Mining Date of Submission: 30/01/2026,SEIAA,EDS raised,"VILLAGE : GHUGHARA TEHSIL : SHAHPURA DISTRICT : JABALPUR STATE : MADHYA PRADESH LEASE AREA : 1.40 HECTARE SURVEY NO. : 63, 58/2 & 59 LESSEE M/S DAYA MINERALS PROP – SHRI ABHISHEK AGRAWAL"
241,SIA/MP/MIN/565704/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271134/2026",MUGDARA-2 SAND QUARRY (1.60Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,EDS raised,"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024 for grant of Mining Lease for Mugdara-2 Sand Quarry located in Village- Mugdara, Tehsil- Nainpur, District- Mandla, State- Madhya Pradesh over an area of 1.600 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method.The project falls under Schedu"
242,SIA/MP/MIN/557137/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/264632/2025",Tikra Berpani Crusher Stone Quarry of M/s Afcons Hindustan JV,MADHYA PRADESH,AFCONS-HINDUSTAN JV,Category: B2 Sector: Non-Coal Mining Date of Submission: 29/01/2026,SEIAA,Under Verification,Stone mine quarry.
243,SIA/MP/MIN/561145/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/268002/2025",Fulonda Stone Quarry,MADHYA PRADESH,TULKA,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Standard ToR Granted,"The Proposed Fulonda Stone Quarry Site covers an Area of 1.889 hectare at Village-Fulonda, Tehsil- Kailaras, District- Morena, M.P. This Case belongs to the B1 category due to the proposed excavation area being a Cluster of Mines in this 500 m radius."
244,SIA/MP/MIN/557709/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/181600/2024",Hridaynagar Laterite Mine,MADHYA PRADESH,Alok mining and mineral work,Category: B1 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"The existing Quarry lease area is 2.00Ha Maximum Production Capacity: 15271 TPA of Laterite is proposed by Open Cast Mechanized Method. Water requirement for the proposed project for drinking use, dust suppression and other use will be 2.125 KLD, which will be taken from Water Tanker."
245,SIA/MP/MIN/563121/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270236/2025",MELPIPALYA-1 SAND QUARRY,MADHYA PRADESH,GIRISH KHANDWEKAR,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Standard ToR Granted,"The Madhya Pradesh State Mining Corporation Limited proposes for sand excavation from a quarry lease area measuring 4.000 hectares, located in Khasra No’s. 104 & 105, Melpipalya Village, Khategaon Tehsil, Dewas District, Madhya Pradesh. The mining activity will be carried out using an open-cast manual method. The entire lease area lies on government land (river bed area) Narmanda River. The proposed annual sand excavation quantity is 72,000 Cum/ Year."
246,SIA/MP/MIN/563095/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270210/2025",PADRI SAND QUARRY,MADHYA PRADESH,RAM SONI,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,Standard ToR Granted,"Sand Quarry on Gopad river, Located at Survey No.: 2142(P), Village: Padri, Tehsil: Banas, District: Sidhi, State: Madhya Pradesh. Total Lease area is 4.700 ha."
247,IA/MP/IND1/544953/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/252705/2025","Establishment of Clinkerization and Cement Manufacturing Plant along with associated facilities at Villages Jamuna and Tapa, Tehsil Rampur Baghelan, District Satna Madhya Pradesh by Dalmia Cement (Bharat) Ltd.",MADHYA PRADESH,DALMIA CEMENT (BHARAT) LIMITED,Category: A Sector: Industrial Projects - 1 Date of Submission: 06/02/2026,MOEFCC,Under Examination,"Dalmia Cement (Bharat) Ltd. (DCBL) proposes to establish Greenfield Integrated Cement Project: Clinker - 8.0 Million TPA (2 x 4.0 Million TPA), Cement - 6.0 Million TPA (2 x 3 Million TPA), WHRS - 40 MW (2 x 20 MW), DG Sets Capacity- 3000 KVA (4 X 750 or 3 X1000 KVA), Oxygen Plant 160 m3/hr (2 X 80 m3/hr) capacity AFR Pre-Processing/Co-processing facility and Railway siding with wagon tippler and other associated facilities at Villages Jamuna and Tapa, Tehsil Rampur Baghelan, District Satna, Mad"
248,SIA/MP/MIN/567243/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273801/2026,Ratadiya Stone (Gitti) Quarry,MADHYA PRADESH,tanveer bee,Category: B2 Sector: Non-Coal Mining Date of Submission: 30/01/2026,SEIAA,EDS raised,"It is stone(Gitti) quarry with a production capacity of 3,515 m3/ Year Stone (Gitti) having a lease area of 1.50 Hectare, at khasra no. 245(Govt.Land) Village- Ratadiya, Tehsil- Ghatiya, District- Ujjain (M.P.)"
249,SIA/MP/MIN/566555/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/234664/2025",ALUVAVIRAN GITTI STONE QUARRY,MADHYA PRADESH,Avinash kumar shrivastava,Category: B1 Sector: Non-Coal Mining Date of Submission: 26/01/2026,SEIAA,Under Verification,"IT IS B-1 CATEGORY STONE/GITTI RENEWAL QUARRY PROJECT, PROJECT IS LOCATED AT SURVEY NO. 66 IN VILLAGE ALUVAVIRAN, TEHSIL NOWGAON, DISTRICT CHHATARPUR, STATE MADHYA PRADESH TOTAL QUARRY LEASE AREA - 4.00 HA."
250,SIA/MP/MIN/526395/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/237133/2025",DHANKHEDI LATERITE MINE,MADHYA PRADESH,RUCHIKA MINING PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 15/01/2026,SEIAA,Standard ToR Granted,"IT IS B-1 CATEGORY LATERITE DEPOSIT MINE PROJECT, PROJECT IS LOCATED AT SURVEY NO. 430/2, 433, 434/2, IN VILLAGE DHANKHEDI, TEHSIL SUWASARA, DISTRICT MANDSAUR, STATE MADHYA PRADESH, TOTAL MINE LEASE AREA - 7.090HA."
251,SIA/MP/MIN/564704/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271635/2026",Bakchheradona - 2 Sand Quarry,MADHYA PRADESH,OMKAR DUBEY,Category: B1 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,Standard ToR Granted,"Sand Quarry on Narmada River, Located at Khasra No. 370, Bakchheradona Village, Mandla Tehsil, Mandla District, Madhya Pradesh. Total lease area is 1.250 ha."
252,SIA/MP/MIN/564219/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271200/2026","Proposed Karmau and Mungwari Limestone Block (Auctioned Block) (Area: 150.906 ha) with Limestone Production Capacity: 505340 TPA at Villages: Karmau & Mungwari, Tehsil: Rampur Baghelan, District: Satna, Madhya Pradesh of M/s. Ambuja Cements Limited",MADHYA PRADESH,Ambuja Cements Limited,Category: B1 Sector: Non-Coal Mining Date of Submission: 06/01/2026,SEIAA,DELISTED BY SYSTEM (at : 07/02/2026),"M/s. Ambuja Cements Limited is proposing Karmau and Mungwari Limestone Block (Auctioned Block) (Area: 150.906 ha) with Limestone Production Capacity: 505340 TPA along with Installation of Crusher of 300 TPH Capacity at Villages: Karmau & Mungwari, Tehsil: Rampur Baghelan, District: Satna, Madhya Pradesh."
253,IA/MP/IND2/562090/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269295/2025","Expansion of Grain based Distillery from 200 KLPD to 540 KLPD including 200 KLPD Sustainable Aviation Fuel plant, proposed 20 TPD Compressed Biogas plant and Co-generation Power Plant from 4 MW to 14 MW at Village Silora, Tehsil Sausar, District Chhindwara, Madhya Pradesh by M/s. Lohiya Green Energy Private Limited",MADHYA PRADESH,LOHIYA GREEN ENERGY PRIVATE LIMITED,Category: A Sector: Industrial Projects - 2 Date of Submission: 08/01/2026,MOEFCC,Standard ToR Granted,"Company is proposing Expansion of Grain based Distillery from 200 KLPD to 540 KLPD including 200 KLPD Sustainable Aviation Fuel plant, proposed 20 TPD Compressed Biogas plant and Co-generation Power Plant from 4 MW to 14 MW at Village Silora, Tehsil Sausar, District Chhindwara, Madhya Pradesh. As per EIA Notification dated 14th Sep, 2006 and as amended on 13th June, 2019, the project falls under Category “A”, Project or Activity ‘5(g)’ Distilleries [Non-Molasses based distilleries>200 KLD or Mol"
254,SIA/MP/MIN/565117/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271948/2026",RAMNNA BOULDER & M-SAND QUARRY,MADHYA PRADESH,Rajendra sahu (HUF),Category: B1 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,Standard ToR Granted,"This is a Ramnna Boulder & M-Sand Quarry. It comes under the B1 category. We are using an open-cast semi-mechanised mining method with an annual production of 75,001 Cub meters/Year Boulder -24,750 Cub Meter/Year & M-Sand-50,251 Cub Meter/Year), Khasra no - 19, Area - 3.90 Ha, Village Ramnna, Tehsil Deori, District Sagar (M.P.)"
255,SIA/MP/MIN/565111/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271945/2026,DONGARIA KHURD STONE QUARRY,MADHYA PRADESH,MADHU AGRAWAL,Category: B2 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,EDS raised,This is a stone crusher quarry project for making gitty.
256,SIA/MP/MIN/567831/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274160/2026",Temni Stone (Gitti & M-Sand) Quarry,MADHYA PRADESH,RAM SAHU,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,EDS raised,"Temni Stone (Gitti & M-Sand) Quarry is situated at Village: Temni, Tehsil: Pandhurna, District: Pandhurna and State: Madhya Pradesh over an area of 4.0 Ha. Quarry Lease Sanctioned to Ram Sahu by Collector Office (Khanij Shakha) Pandhurna (M.P), A Vide Order No. 7/0055/2025-O/OMINING-PRNA-COLL-(I/405819/2025) dated 31/07/2025."
257,SIA/MP/MIN/562835/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269980/2025",Dotriya crusher Stone & M-Sand quarry (T.P.),MADHYA PRADESH,bansal construction works private limited,Category: B2 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"Dotriya crusher Stone & M-Sand quarry (T.P.), is situated at Village: Dotriya, Tehsil: Badnawar, District: Dhar and State: Madhya Pradesh over an area of 2.0 Ha. Quarry Lease Sanctioned to M/s Bansal Construction works Pvt. LTD. by Office of the Collector (Mineral Branch), District Dhar (M.P.), with A Vide letter no. Kr.3363/Aa.Anu/N.Kr.-01/25/Khanij/2025-26, District- Dhar, dated 18.11.2015, from 18.11.2015 to 17.11.2018 for 3 Years (T.P.)."
258,SIA/MP/MIN/566900/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273457/2026",Potla Stone quarry (T.P.),MADHYA PRADESH,MKC INFRASTRUCTURE LIMITED,Category: B2 Sector: Non-Coal Mining Date of Submission: 28/01/2026,SEIAA,EDS raised,"Potla Stone quarry (T.P.), is situated at Village: Potla, Tehsil: Gyaraspur, District: Vidisha and State: Madhya Pradesh over an area of 2.278 Ha. Quarry Lease Sanctioned to M/s MKC Infrastructure Limited by Office of the Collector (Mining Branch), District - Vidisha, M.P., with A Vide letter no. Kr./2254-55/Khanij/2025, District- Vidisha, dated 14.11.2025, for 2 years."
259,SIA/MP/MIN/558960/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/242901/2025","CHANDRABHAN GUPTA STONE QUARRY, 4.0 HA",MADHYA PRADESH,CHANDRA GUPTA,Category: B1 Sector: Non-Coal Mining Date of Submission: 22/01/2026,SEIAA,EDS raised,"STONE QUARRY, 4.0 HA , KHASRA NO. 678/1, JIJORA, NIWARI, OF CHANDRABHAN GUPTA OPERATING MINE, WITH VALID CONSENT AND EC FROM DEIAA. WE ARE APPLYING OF RE APPRAISAL OF EC WITH SAME CAPACITY, WE HAVE PREPARED EIA/EMP REPORTS."
260,SIA/MP/MIN/559125/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/182362/2024","SURESH KUMAR SARAOGI, BHOJPURA STONE QUARRY 1.0 HA",MADHYA PRADESH,SURESH SARAOGI,Category: B1 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,EDS raised,"Bhojpura Stone Quarry mine is located at Khasra No.-4, Village –Bhojpura, Tehsil Orchha, Distt. Niwari (M.P.). The lease has been sanctioned in F/o Suresh Kumar Saraogi. The total lease area of the mine is 1.0 ha. DEIAA has granted EC in vide letter no. 229 dated 10.04.2018 in favor of Suresh kumar Saraogi. The capacity of quarry is for mining of Stone – 9102 cum /year"
261,SIA/MP/MIN/562065/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/268598/2025,Mouhari Stone Quarry,MADHYA PRADESH,Laxmikant Sharma,Category: B2 Sector: Non-Coal Mining Date of Submission: 30/01/2026,SEIAA,Under Verification,"It is a Stone quarry with a production capacity of 9,996 Cu.mt/Year Stone having a lease area of 1.55 hectares , previously EC was issued by DEIAA Annuppur at Khasra No.- 131 and 132 (Govt. Land) Village - Mouhari, Tehsil-Kotma and, District- Anuppur (M.P.). Now we are applying for fresh EC in MP-SEIAA as per the Honourable NGT OA 142 of 2022 dtd 07-12-2022."
262,SIA/MP/MIN/563362/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270439/2025",Tikri -1 Sand Deposit_2.00 ha,MADHYA PRADESH,RAM SONI,Category: B1 Sector: Non-Coal Mining Date of Submission: 17/01/2026,SEIAA,Standard ToR Granted,"Sand Quarry on Gopad River, Located at Khasra No. 2152 (P), Tikri Village, Majhuli Tehsil, Sidhi District, Madhya Pradesh. Total lease area is 2.00 ha."
